food_id,name,calories,protein,carbs,fat,meal_type
1,Oatmeal with banana,350,12,60,8,breakfast
2,Greek yogurt bowl,280,18,30,6,breakfast
3,Boiled eggs + toast,320,20,28,12,breakfast
4,Chicken rice bowl,520,38,65,12,lunch
5,Salmon salad,480,35,25,24,lunch
6,Tofu veggie stir-fry,450,22,55,14,lunch
7,Lean beef + sweet potato,560,42,50,18,dinner
8,Shrimp veggie soup,360,28,30,10,dinner
9,Grilled chicken + veggies,420,40,18,14,dinner
10,Apple,95,0,25,0,snack
11,Almonds (30g),175,6,6,15,snack
12,Protein shake,220,25,12,6,snack
13,Avocado toast,320,10,32,18,breakfast
14,Chia pudding,260,9,28,12,breakfast
15,Tuna sandwich (whole wheat),430,32,40,14,lunch
16,Turkey wrap + veggies,410,30,42,12,lunch
17,Lentil soup + bread,460,24,70,8,lunch
18,Grilled salmon + quinoa,610,40,55,22,dinner
19,Chicken pho (lean),520,35,70,10,dinner
20,Tofu curry + rice,640,22,85,22,dinner
21,Cottage cheese + berries,220,20,18,6,snack
22,Banana,105,1,27,0,snack
23,Edamame (1 cup),190,17,15,8,snack
24,Dark chocolate (20g),110,2,12,7,snack
